+====================+===================+======================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                  |
| clk_2              | clk_2             | linienmodule_fast_b_iir0_zr1_reg[38]/D               |
| clk_2              | clk_2             | linienmodule_fast_b_cordic1_reg[8]/D                 |
| clk_2              | clk_2             | linienmodule_mod_cordic1_reg[12]/D                   |
| clk_2              | clk_2             | linienmodule_fast_a_iir1_zr5_reg[36]/D               |
| clk_2              | clk_2             | linienmodule_fast_b_iir1_zr6_reg[19]/D               |
| clk_2              | clk_2             | linienmodule_state_status_reg[13]/D                  |
| clk_2              | clk_2             | linienmodule_deltasigma1_sigma_reg[5]/D              |
| clk_2              | clk_2             | linienmodule_raw_acquisition_iir_zr5_reg[16]/D       |
| clk_2              | clk_2             | linienmodule_fast_b_cordic1_reg[2]/D                 |
| clk_2              | clk_2             | linienmodule_fast_a_iir0_zr1_reg[29]/D               |
| clk_2              | clk_2             | linienmodule_fast_a_iir1_zr6_reg[23]/D               |
| clk_2              | clk_2             | linienmodule_mod_cordic4_reg[13]/D                   |
| clk_2              | clk_2             | linienmodule_raw_acquisition_iir_zr5_reg[13]/D       |
| clk_2              | clk_2             | linienmodule_raw_acquisition_iir_zr5_reg[15]/D       |
| clk_2              | clk_2             | linienmodule_fast_b_iir1_zr4_reg[29]/D               |
| clk_2              | clk_2             | linienmodule_deltasigma1_sigma_reg[4]/D              |
+--------------------+-------------------+------------------------------------------------------+
